CAR_NUMBER,AGGRESSIVENESS,PAY_TOLL_TIME,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,BOOTH_PAID_AT,FINAL_LANE
0,0.9123911555782144,15.651295602420143,4.0,0.0,0.0,18.0,true,0,0,0
1,0.7804954630829742,18.24239309750074,5.0,0.0,0.0,21.0,true,0,0,0
7,0.9807958240352603,15.865904075680731,22.0,0.0,0.0,17.0,true,0,0,0
2,1.0194146351531288,11.122915436844558,7.0,10.0,22.0,37.5,false,2,2,1
3,0.9313739149517987,11.738522440447877,11.0,11.0,29.0,47.0,false,2,2,0
9,0.9700072977099723,19.823618731139113,52.0,0.0,0.0,17.0,true,0,0,0
10,1.0582087930195851,16.489687569792856,65.0,0.0,0.0,21.0,true,0,0,0
4,1.0855258613035594,20.927497153576876,15.0,9.0,30.0,72.5,false,1,1,0
5,0.9264699645578114,19.898423911475483,17.0,11.0,42.0,71.0,false,2,2,0
12,1.0651141989657538,20.110138982420683,78.0,0.0,0.0,17.0,true,0,0,0
6,0.8392992274522962,14.05066972628796,20.0,12.0,39.0,76.5,false,1,1,0
13,0.9859176795579613,16.692942190097458,80.0,0.0,0.0,16.0,true,0,0,0
16,1.0041943151451542,16.382375411019638,89.0,0.0,0.0,17.0,true,0,0,0
8,1.1148034955076638,20.33932198085036,45.0,9.0,34.0,63.0,false,2,2,0
15,0.9595640062814697,19.854124087242564,85.0,0.0,0.0,22.0,true,0,0,0
18,1.0329272879088218,18.689560582758055,110.0,0.0,0.0,16.0,true,0,0,0
20,1.0797828997700727,15.078658178624682,113.0,0.0,0.0,19.0,true,0,0,0
19,0.7689552360113683,14.24257488291368,112.0,0.0,0.0,21.0,true,0,0,0
11,0.8415892073554156,16.289355710522422,69.0,12.0,29.0,66.5,false,1,1,0
17,1.1132252691109683,14.51017524768509,99.0,9.0,24.0,39.0,false,2,2,0
14,1.0691559741033851,15.722802283818565,81.0,9.0,32.0,75.5,false,1,1,0
21,1.0196655210914276,13.852818228305427,115.0,10.0,24.0,44.5,false,1,1,0
24,0.9249642642082903,20.869904214769278,141.0,0.0,0.0,18.0,true,0,0,0
26,1.0363399469143966,18.486310904788873,146.0,0.0,0.0,16.0,true,0,0,0
29,1.0708395563937974,16.390524993525027,156.0,0.0,0.0,15.0,true,0,0,0
