CAR_NUMBER,AGGRESSIVENESS,PAY_TOLL_TIME,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,BOOTH_PAID_AT,FINAL_LANE
0,0.9696085084781815,20.506357279652665,1.0,0.0,0.0,17.0,true,0,0,0
1,1.1851042401129348,14.455199513726052,9.0,0.0,0.0,14.0,true,0,0,0
2,0.8304461929940109,16.494420149339817,26.0,0.0,0.0,19.0,true,0,0,0
3,1.0116290786212037,20.01929857849515,28.0,0.0,0.0,17.0,true,0,0,0
4,1.0195751874839323,23.13366011210638,37.0,0.0,0.0,16.0,true,0,0,0
6,1.10960606662194,19.056497158033626,44.0,0.0,0.0,15.0,true,0,0,0
7,1.1095761586435362,18.395344923196177,47.0,0.0,0.0,15.0,true,0,0,0
8,1.0662298912389296,12.39927867290545,54.0,0.0,0.0,15.0,true,0,0,0
9,0.9271282880662449,15.907316349549031,56.0,0.0,0.0,17.0,true,0,0,0
10,0.9546708237408085,17.524683401653693,67.0,0.0,0.0,17.0,true,0,0,0
11,0.9508961549151078,21.781845360505812,70.0,0.0,0.0,17.0,true,0,0,0
5,1.0120701874998894,25.03185631122758,39.0,10.0,36.0,57.0,false,2,2,0
12,0.9108676665660923,16.625778196021784,77.0,0.0,0.0,18.0,true,0,0,0
13,0.9945008790686016,21.650286135885516,79.0,0.0,0.0,16.0,true,0,0,0
15,1.1671840615037536,21.702688398624204,82.0,0.0,0.0,15.0,true,0,0,0
14,0.9483464276970628,15.631299411192357,81.0,0.0,0.0,17.0,true,0,0,0
16,1.0370657868675437,22.436376038688348,83.0,0.0,0.0,16.0,true,0,0,0
17,0.9136936332460446,20.058565465525422,91.0,0.0,0.0,18.0,true,0,0,0
18,1.0485491770667557,25.504677883556905,93.0,0.0,0.0,16.0,true,0,0,0
19,0.8984681829637481,18.733020953122455,102.0,0.0,0.0,18.0,true,0,0,0
20,1.1021790547838175,21.68987893396165,106.0,0.0,0.0,15.0,true,0,0,0
21,1.1551588874885836,21.295366599551503,109.0,0.0,0.0,14.0,true,0,0,0
22,0.9483397366236053,18.156657359093327,116.0,0.0,0.0,17.0,true,0,0,0
23,0.8829279226400275,25.92771602464547,117.0,0.0,0.0,18.0,true,0,0,0
24,1.0591563239712976,21.55807900681809,126.0,0.0,0.0,15.0,true,0,0,0
25,0.9660114607770238,17.790909736833296,131.0,0.0,0.0,17.0,true,0,0,0
26,1.0378840616844398,16.46069696904803,132.0,0.0,0.0,16.0,true,0,0,0
27,1.1674885769824375,16.023214967099875,136.0,0.0,0.0,14.0,true,0,0,0
28,0.8898307820355517,19.11164672012812,146.0,0.0,0.0,18.0,true,0,0,0
29,1.026450878871652,21.316449466217566,152.0,0.0,0.0,16.0,true,0,0,0
31,1.0645931932863515,22.722128176059876,166.0,0.0,0.0,15.0,true,0,0,0
32,1.0206270411501457,18.85227368266685,173.0,0.0,0.0,16.0,true,0,0,0
34,1.1428821703670904,15.324670513889933,177.0,0.0,0.0,16.0,true,0,0,0
33,0.8186840027762836,17.00290668009547,174.0,0.0,0.0,20.0,true,0,0,0
