CAR_NUMBER,AGGRESSIVENESS,PAY_TOLL_TIME,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,BOOTH_PAID_AT,FINAL_LANE
0,0.9973162781497887,17.361093602267847,6.0,0.0,0.0,16.0,true,0,0,0
1,1.1425537687539196,18.1922364147164,10.0,0.0,0.0,14.0,true,0,0,0
2,1.0944243440632142,18.85943751869575,11.0,0.0,0.0,15.0,true,0,0,0
10,0.9857237505542609,16.577866887526984,24.0,0.0,0.0,16.0,true,0,0,0
11,0.9921688521942509,12.884168828340222,27.0,0.0,0.0,16.0,true,0,0,0
12,1.0194875973701032,11.559787566591087,29.0,0.0,0.0,16.0,true,0,0,0
13,1.0080006940201027,15.293068595102925,30.0,0.0,0.0,16.0,true,0,0,0
14,1.0160297931078843,14.147891167500475,31.0,0.0,0.0,16.0,true,0,0,0
17,1.0510668221828456,13.956556935134625,39.0,0.0,0.0,15.0,true,0,0,0
19,1.1180721542167948,13.852202184880358,42.0,0.0,0.0,15.0,true,0,0,0
21,0.9958374439405226,16.082850212228234,44.0,0.0,0.0,26.0,true,0,0,0
3,0.928575267494893,13.004224035273305,12.0,11.0,25.0,60.0,false,2,2,0
5,0.9185141140432032,17.18563512673432,14.0,11.0,29.0,57.5,false,1,1,0
4,0.9402077678171605,17.246187332934824,13.0,11.0,41.0,60.0,false,2,2,0
29,0.9055892494500578,9.727293477520313,63.0,0.0,0.0,18.0,true,0,0,0
32,0.912662985853767,12.763481117854269,66.0,0.0,0.0,18.0,true,0,0,0
38,1.0329656867388082,11.801763620099662,78.0,0.0,0.0,23.0,true,0,0,0
30,0.9757639088251921,12.531114058185024,64.0,0.0,0.0,38.0,true,0,0,0
33,1.0815272420200353,14.96844904896387,68.0,0.0,0.0,34.0,true,0,0,0
34,1.0242401921680706,18.197389205745793,69.0,0.0,0.0,33.0,true,0,0,0
35,0.9304832555495453,13.255114942090312,71.0,0.0,0.0,31.0,true,0,0,0
36,1.1092086321022165,14.164736085512201,73.0,0.0,0.0,29.0,true,0,0,0
6,0.7981604369189454,17.138767289747488,15.0,13.0,56.0,89.0,false,2,2,0
7,1.0202191242667225,15.254231121309694,17.0,10.0,41.0,86.5,false,1,1,0
15,0.9229909941723791,17.785674493634055,34.0,11.0,56.0,70.5,false,1,1,0
40,0.9653478019621005,18.876872118987023,87.0,0.0,0.0,17.0,true,0,0,0
48,0.9876814750080989,19.687803089593878,103.0,0.0,0.0,20.0,true,0,0,0
37,0.8437357646581133,12.981391410957816,76.0,0.0,0.0,48.0,true,0,0,0
42,1.0863268443190774,17.712309335692275,90.0,0.0,0.0,34.0,true,0,0,0
43,0.9501486970460211,15.607432198751987,91.0,0.0,0.0,33.0,true,0,0,0
44,1.0467444445750074,12.771928344148941,92.0,0.0,0.0,32.0,true,0,0,0
45,0.947407648097613,13.42378666570907,94.0,0.0,0.0,30.0,true,0,0,0
8,1.0878687287068707,10.842942190972604,19.0,9.0,62.0,107.0,false,2,2,0
9,0.8659951648273166,15.457218339874336,20.0,12.0,53.0,105.5,false,1,1,0
39,0.8607349464714031,16.44820558934078,80.0,0.0,0.0,45.0,true,0,0,0
51,1.020351050626873,11.150658941388018,107.0,0.0,0.0,18.0,true,0,0,0
16,0.9307049265648378,16.45399883930773,38.0,11.0,59.0,89.0,false,2,2,0
23,1.064286149864956,12.959169321748874,48.0,9.0,66.0,78.5,false,1,1,0
53,1.13302228444874,20.37334662744987,112.0,0.0,0.0,14.0,true,0,0,0
58,1.1482425154703733,13.607784621366187,126.0,0.0,0.0,17.0,true,0,0,0
20,0.9878329719782841,13.932732762610208,43.0,10.0,67.0,102.0,false,2,2,0
57,1.0156873991923738,14.54011566985962,124.0,0.0,0.0,20.0,true,0,0,0
18,1.071929668336285,12.368248782547907,41.0,9.0,61.0,104.5,false,1,1,0
22,1.1513889577763288,12.586502118039446,46.0,9.0,76.0,100.0,false,2,2,0
50,0.996630614435291,12.320862990485596,106.0,0.0,0.0,39.0,true,0,0,0
60,0.9707718479275358,13.409406229494152,129.0,0.0,0.0,17.0,true,0,0,0
65,1.0440140685799937,19.44505602708841,141.0,0.0,0.0,31.0,true,0,0,0
25,1.0532228178344567,16.634031084876305,52.0,9.0,78.0,121.5,false,1,1,0
67,1.0071252809348865,19.649837445582587,146.0,0.0,0.0,27.0,true,0,0,0
69,0.9524970077866953,11.165588786602306,149.0,0.0,0.0,24.0,true,0,0,0
24,1.023966998819726,13.274177545082694,49.0,10.0,86.0,126.0,false,2,2,0
41,0.8974474915273701,11.150754816910606,88.0,11.0,58.0,109.0,false,2,2,0
46,0.9030164331515365,12.64045997644115,96.0,11.0,62.0,101.0,false,2,2,0
26,0.8867415918685657,16.10302438719644,54.0,11.0,92.0,143.5,false,1,1,0
28,0.981957138727892,15.314651272221722,62.0,10.0,109.0,135.5,false,1,1,0
47,0.9743821639256428,10.210087088061648,102.0,10.0,66.0,96.0,false,2,2,0
79,0.9734089158839151,13.468966127559625,169.0,0.0,0.0,28.0,true,0,0,0
84,1.0763654199824275,17.74162188479732,180.0,0.0,0.0,17.0,true,0,0,0
83,1.102286462466463,16.39248059148652,179.0,0.0,0.0,19.0,true,0,0,0
27,1.0728640692352338,10.165127448042103,58.0,9.0,98.0,141.5,false,1,1,0
86,1.0682481369446046,16.52276953124362,184.0,0.0,0.0,23.0,true,0,0,0
49,1.100795897983429,11.341222209133454,104.0,9.0,75.0,105.0,false,2,2,0
88,0.7584083915902898,16.686201358087825,187.0,0.0,0.0,21.0,true,0,0,0
93,0.7535227910024788,18.46280229741278,199.0,0.0,0.0,21.0,true,0,0,0
95,1.142871985897955,16.582682192922224,204.0,0.0,0.0,16.0,true,0,0,0
99,0.9374606033855397,10.721549445466731,213.0,0.0,0.0,17.0,true,0,0,0
31,0.9232716468634434,11.03694201945602,65.0,11.0,117.0,166.5,false,1,1,0
52,1.0130590413467633,7.765468000397949,108.0,10.0,78.0,124.0,false,2,2,0
54,1.1891935269481322,15.718017679937436,114.0,8.0,87.0,118.0,false,2,2,0
55,0.8256655105855407,11.130294975582288,116.0,12.0,77.0,115.5,false,1,1,0
