CAR_NUMBER,AGGRESSIVENESS,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,FINAL_LANE
4,1.025643403426802,22.0,0.0,0.0,16.0,true,0,0
1,1.1991246201917969,12.0,8.0,23.0,42.0,false,2,0
8,0.9403895996624485,39.0,0.0,0.0,31.0,true,0,0
0,0.9874104289601764,0.0,10.0,25.0,72.0,false,1,0
2,1.1051512174995461,14.0,9.0,35.0,59.0,false,2,0
7,1.0935028082377607,37.0,0.0,0.0,34.0,true,0,0
14,1.1361341763739463,58.0,0.0,0.0,14.0,true,0,0
5,0.9618731595503662,26.0,10.0,25.0,73.0,false,1,0
12,0.8688109073987592,54.0,0.0,0.0,44.0,true,0,0
3,1.1054716038791288,19.0,9.0,44.0,82.0,false,2,0
10,1.170060971047516,45.0,8.0,32.0,72.0,false,2,0
20,0.9384425034250776,85.0,0.0,0.0,30.0,true,0,0
6,0.8845697231167667,33.0,11.0,32.0,84.0,false,1,0
9,1.0331733007484594,41.0,10.0,38.0,83.0,false,1,0
18,0.9555776585519656,82.0,0.0,0.0,41.0,true,0,0
19,0.9904576261710127,83.0,0.0,0.0,40.0,true,0,0
21,0.9925460272300008,86.0,0.0,0.0,37.0,true,0,0
11,1.165394221226383,52.0,9.0,39.0,74.0,false,2,0
25,0.9680630670568942,110.0,0.0,0.0,17.0,true,0,0
16,1.0830074315307003,67.0,9.0,26.0,69.0,false,1,0
13,0.9374013356991702,56.0,11.0,49.0,82.0,false,2,0
31,0.9288086280711713,129.0,0.0,0.0,17.0,true,0,0
15,1.0405423801017613,64.0,10.0,55.0,96.0,false,2,0
17,0.8783351334848863,71.0,11.0,36.0,88.0,false,1,0
26,0.9212606043366691,113.0,0.0,0.0,45.0,true,0,0
36,1.032677144519988,154.0,0.0,0.0,17.0,true,0,0
24,1.0118750144556088,104.0,10.0,29.0,70.0,false,2,0
30,0.9902414485976065,128.0,10.0,25.0,45.0,false,1,0
34,0.9629593454122374,150.0,0.0,0.0,22.0,true,0,0
22,0.8754415488686308,90.0,11.0,31.0,84.0,false,1,0
42,0.9876687819585502,162.0,0.0,0.0,19.0,true,0,0
23,0.9596686894522652,100.0,10.0,35.0,83.0,false,1,0
28,0.9958601353017723,119.0,10.0,42.0,65.0,false,2,0
33,1.0038123269533872,144.0,0.0,0.0,38.0,true,0,0
