CAR_NUMBER,START_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED
0,0,23,false,2
1,1,23,true,0
2,2,23,true,0
3,3,23,false,2
4,4,23,true,0
5,5,23,false,2
6,6,23,false,1
7,7,23,false,1
8,8,23,false,2
9,9,23,false,1
10,10,23,false,1
11,11,23,true,0
12,12,23,true,0
13,13,23,true,0
14,14,23,true,0
15,15,23,false,2
16,16,23,true,0
17,17,23,false,2
18,18,23,false,1
19,19,23,true,0
20,20,23,true,0
21,21,23,false,2
22,22,23,true,0
23,23,23,false,1
24,24,23,false,1
25,25,23,false,1
26,26,23,true,0
27,27,23,false,1
28,28,23,true,0
29,29,23,true,0
30,30,23,true,0
31,31,23,true,0
32,32,23,false,2
33,33,23,true,0
34,34,23,false,1
35,35,23,false,2
36,36,23,false,1
37,37,23,false,1
38,38,23,false,2
39,39,23,false,1
40,40,23,true,0
41,41,23,false,2
42,42,23,true,0
43,43,23,true,0
44,44,23,true,0
45,45,23,true,0
46,46,23,false,1
47,47,23,false,2
48,48,23,false,2
49,49,23,false,2
50,50,23,false,2
51,51,23,false,1
52,52,23,true,0
53,53,23,false,2
54,54,23,true,0
55,55,23,false,2
56,56,23,false,2
57,57,23,false,1
58,58,23,false,1
59,59,23,false,1
60,60,23,true,0
61,61,23,true,0
62,62,23,true,0
63,63,23,true,0
64,64,23,true,0
65,65,23,false,1
66,66,23,false,2
67,67,23,false,2
68,68,23,false,1
69,69,23,false,2
70,70,23,false,1
71,71,23,true,0
72,72,23,true,0
73,73,23,true,0
74,74,23,true,0
75,75,23,true,0
76,76,23,false,1
77,77,23,true,0
78,78,23,true,0
79,79,23,false,2
80,80,23,true,0
81,81,23,false,1
82,82,23,true,0
83,83,23,true,0
84,84,23,true,0
85,85,23,false,2
86,86,23,false,2
87,87,23,false,2
88,88,23,true,0
89,89,23,false,1
90,90,23,false,1
91,91,23,true,0
92,92,23,false,2
93,93,23,false,2
94,94,23,false,2
95,95,23,true,0
96,96,23,true,0
97,97,23,false,2
98,98,23,false,2
99,99,23,true,0
100,100,23,true,0
101,101,23,true,0
102,102,23,true,0
103,103,23,true,0
104,104,23,false,2
105,105,23,false,1
106,106,23,true,0
107,107,23,true,0
108,108,23,true,0
109,109,23,false,2
110,110,23,false,1
111,111,23,true,0
112,112,23,false,2
113,113,23,true,0
114,114,23,true,0
115,115,23,false,1
116,116,23,true,0
117,117,23,false,1
118,118,23,false,2
119,119,23,true,0
120,120,23,false,2
121,121,23,true,0
122,122,23,true,0
123,123,23,false,1
124,124,23,false,2
125,125,23,false,1
126,126,23,false,2
127,127,23,false,2
128,128,23,true,0
129,129,23,true,0
130,130,23,false,2
131,131,23,true,0
132,132,23,true,0
133,133,23,true,0
134,134,23,true,0
135,135,23,false,2
136,136,23,false,1
137,137,23,true,0
138,138,23,false,2
139,139,23,true,0
140,140,23,false,2
141,141,23,false,2
142,142,23,false,1
143,143,23,true,0
144,144,23,true,0
145,145,23,false,1
146,146,23,true,0
147,147,23,true,0
148,148,23,false,1
149,149,23,false,1
150,150,23,true,0
151,151,23,true,0
152,152,23,true,0
153,153,23,false,1
154,154,23,false,2
155,155,23,true,0
156,156,23,true,0
157,157,23,false,2
158,158,23,false,1
159,159,23,true,0
160,160,23,false,2
161,161,23,false,1
162,162,23,false,1
163,163,23,false,2
164,164,23,true,0
165,165,23,false,2
166,166,23,true,0
167,167,23,true,0
168,168,23,false,2
169,169,23,false,1
170,170,23,false,2
171,171,23,false,1
172,172,23,true,0
173,173,23,true,0
174,174,23,true,0
175,175,23,true,0
176,176,23,true,0
177,177,23,false,1
178,178,23,false,1
179,179,23,true,0
180,180,23,true,0
181,181,23,true,0
182,182,23,false,1
183,183,23,false,2
184,184,23,true,0
185,185,23,false,1
186,186,23,true,0
187,187,23,false,2
188,188,23,false,1
189,189,23,false,1
190,190,23,false,2
191,191,23,true,0
192,192,23,true,0
193,193,23,false,2
194,194,23,false,1
195,195,23,false,1
196,196,23,true,0
197,197,23,true,0
198,198,23,false,2
199,199,23,true,0
200,200,23,true,0
201,201,23,false,2
202,202,23,true,0
203,203,23,false,2
204,204,23,false,2
205,205,23,true,0
206,206,23,false,2
207,207,23,true,0
208,208,23,true,0
209,209,23,true,0
210,210,23,false,2
211,211,23,true,0
212,212,23,true,0
213,213,23,true,0
214,214,23,false,2
215,215,23,false,1
216,216,23,true,0
217,217,23,true,0
218,218,23,true,0
219,219,23,false,1
