CAR_NUMBER,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,FINAL_LANE
1,7.0,0.0,0.0,18.0,true,0,0
2,8.0,0.0,0.0,18.0,true,0,0
3,13.0,0.0,0.0,18.0,true,0,0
4,23.0,0.0,0.0,18.0,true,0,0
5,28.0,0.0,0.0,18.0,true,0,0
6,29.0,0.0,0.0,18.0,true,0,0
0,6.0,11.0,26.0,44.0,false,1,1
7,36.0,0.0,0.0,18.0,true,0,0
8,37.0,0.0,0.0,18.0,true,0,0
9,44.0,0.0,0.0,18.0,true,0,0
10,46.0,0.0,0.0,18.0,true,0,0
11,58.0,0.0,0.0,18.0,true,0,0
14,68.0,0.0,0.0,18.0,true,0,0
18,90.0,0.0,0.0,18.0,true,0,0
12,66.0,11.0,26.0,44.0,false,2,1
19,92.0,0.0,0.0,18.0,true,0,0
21,99.0,0.0,0.0,18.0,true,0,0
13,67.0,11.0,39.0,57.0,false,2,1
15,82.0,11.0,26.0,44.0,false,1,1
25,113.0,0.0,0.0,18.0,true,0,0
16,86.0,11.0,36.0,54.0,false,1,1
29,125.0,0.0,0.0,18.0,true,0,0
22,103.0,11.0,26.0,44.0,false,2,1
31,135.0,0.0,0.0,18.0,true,0,0
17,88.0,11.0,48.0,66.0,false,1,1
32,140.0,0.0,0.0,18.0,true,0,0
23,104.0,11.0,39.0,57.0,false,2,1
20,93.0,11.0,57.0,75.0,false,1,1
24,109.0,11.0,48.0,66.0,false,2,1
37,159.0,0.0,0.0,18.0,true,0,0
28,123.0,11.0,41.0,59.0,false,1,1
26,114.0,11.0,57.0,75.0,false,2,1
30,133.0,11.0,45.0,63.0,false,1,1
27,116.0,11.0,69.0,87.0,false,2,1
39,185.0,0.0,0.0,18.0,true,0,0
33,141.0,11.0,51.0,69.0,false,1,1
41,198.0,0.0,0.0,18.0,true,0,0
38,161.0,11.0,38.0,56.0,false,2,1
34,144.0,11.0,62.0,80.0,false,1,1
43,209.0,0.0,0.0,18.0,true,0,0
44,212.0,0.0,0.0,18.0,true,0,0
45,216.0,0.0,0.0,18.0,true,0,0
40,193.0,11.0,26.0,44.0,false,2,1
46,219.0,0.0,0.0,18.0,true,0,0
35,151.0,11.0,69.0,87.0,false,1,1
47,222.0,0.0,0.0,18.0,true,0,0
48,226.0,0.0,0.0,18.0,true,0,0
49,232.0,0.0,0.0,18.0,true,0,0
42,200.0,11.0,33.0,51.0,false,2,1
50,233.0,0.0,0.0,18.0,true,0,0
36,155.0,11.0,79.0,97.0,false,1,1
51,237.0,0.0,0.0,18.0,true,0,0
54,254.0,0.0,0.0,18.0,true,0,0
56,259.0,0.0,0.0,18.0,true,0,0
57,260.0,0.0,0.0,18.0,true,0,0
52,238.0,11.0,26.0,44.0,false,1,1
59,267.0,0.0,0.0,18.0,true,0,0
53,245.0,11.0,26.0,44.0,false,2,2
60,272.0,0.0,0.0,18.0,true,0,0
61,273.0,0.0,0.0,18.0,true,0,0
55,256.0,11.0,29.0,47.0,false,2,1
65,287.0,0.0,0.0,18.0,true,0,0
68,298.0,0.0,0.0,18.0,true,0,0
58,264.0,11.0,35.0,53.0,false,2,1
62,274.0,11.0,26.0,44.0,false,1,1
69,300.0,0.0,0.0,18.0,true,0,0
72,303.0,0.0,0.0,18.0,true,0,0
73,305.0,0.0,0.0,18.0,true,0,0
63,277.0,11.0,37.0,55.0,false,1,1
66,288.0,11.0,26.0,44.0,false,2,1
64,278.0,11.0,50.0,68.0,false,1,1
67,295.0,11.0,33.0,51.0,false,2,1
78,333.0,0.0,0.0,18.0,true,0,0
70,301.0,11.0,41.0,59.0,false,2,1
74,308.0,11.0,34.0,52.0,false,1,1
79,345.0,0.0,0.0,18.0,true,0,0
80,350.0,0.0,0.0,18.0,true,0,0
71,302.0,11.0,54.0,72.0,false,2,1
75,312.0,11.0,44.0,62.0,false,1,1
83,368.0,0.0,0.0,18.0,true,0,0
76,323.0,11.0,47.0,65.0,false,1,1
84,375.0,0.0,0.0,18.0,true,0,0
81,351.0,11.0,26.0,44.0,false,2,1
77,327.0,11.0,57.0,75.0,false,1,1
85,385.0,0.0,0.0,18.0,true,0,0
87,390.0,0.0,0.0,18.0,true,0,0
82,356.0,11.0,35.0,53.0,false,2,2
88,393.0,0.0,0.0,18.0,true,0,0
92,409.0,0.0,0.0,18.0,true,0,0
86,387.0,11.0,26.0,44.0,false,1,1
93,413.0,0.0,0.0,18.0,true,0,0
95,415.0,0.0,0.0,18.0,true,0,0
98,418.0,0.0,0.0,18.0,true,0,0
89,397.0,11.0,26.0,44.0,false,2,1
99,424.0,0.0,0.0,18.0,true,0,0
101,431.0,0.0,0.0,18.0,true,0,0
90,407.0,11.0,30.0,48.0,false,2,1
94,414.0,11.0,26.0,44.0,false,1,1
106,441.0,0.0,0.0,18.0,true,0,0
91,408.0,11.0,43.0,61.0,false,2,1
108,453.0,0.0,0.0,18.0,true,0,0
96,416.0,11.0,38.0,56.0,false,1,1
100,429.0,11.0,36.0,54.0,false,2,1
111,466.0,0.0,0.0,18.0,true,0,0
97,417.0,11.0,51.0,69.0,false,1,1
112,469.0,0.0,0.0,18.0,true,0,0
113,474.0,0.0,0.0,18.0,true,0,0
102,432.0,11.0,47.0,65.0,false,2,1
117,479.0,0.0,0.0,18.0,true,0,0
107,446.0,11.0,36.0,54.0,false,1,1
118,482.0,0.0,0.0,18.0,true,0,0
103,435.0,11.0,58.0,76.0,false,2,1
109,455.0,11.0,41.0,59.0,false,1,1
120,496.0,0.0,0.0,18.0,true,0,0
121,501.0,0.0,0.0,18.0,true,0,0
122,503.0,0.0,0.0,18.0,true,0,0
123,504.0,0.0,0.0,18.0,true,0,0
104,438.0,11.0,69.0,87.0,false,2,1
110,458.0,11.0,52.0,70.0,false,1,1
124,517.0,0.0,0.0,18.0,true,0,0
105,440.0,11.0,81.0,99.0,false,2,1
126,521.0,0.0,0.0,18.0,true,0,0
114,475.0,11.0,49.0,67.0,false,1,1
129,529.0,0.0,0.0,18.0,true,0,0
130,532.0,0.0,0.0,18.0,true,0,0
119,487.0,11.0,48.0,66.0,false,2,1
115,476.0,11.0,62.0,80.0,false,1,1
131,543.0,0.0,0.0,18.0,true,0,0
125,520.0,11.0,29.0,47.0,false,2,1
116,478.0,11.0,74.0,92.0,false,1,1
133,552.0,0.0,0.0,18.0,true,0,0
134,557.0,0.0,0.0,18.0,true,0,0
135,559.0,0.0,0.0,18.0,true,0,0
127,522.0,11.0,41.0,59.0,false,2,1
137,565.0,0.0,0.0,18.0,true,0,0
138,567.0,0.0,0.0,18.0,true,0,0
132,546.0,11.0,26.0,44.0,false,1,1
139,573.0,0.0,0.0,18.0,true,0,0
128,527.0,11.0,50.0,68.0,false,2,2
142,590.0,0.0,0.0,18.0,true,0,0
136,564.0,11.0,27.0,45.0,false,2,1
143,592.0,0.0,0.0,18.0,true,0,0
145,599.0,0.0,0.0,18.0,true,0,0
140,579.0,11.0,26.0,44.0,false,1,1
148,615.0,0.0,0.0,18.0,true,0,0
141,584.0,11.0,35.0,53.0,false,1,1
144,593.0,11.0,26.0,44.0,false,2,2
149,627.0,0.0,0.0,18.0,true,0,0
150,628.0,0.0,0.0,18.0,true,0,0
146,602.0,11.0,31.0,49.0,false,2,1
147,613.0,11.0,26.0,44.0,false,1,1
152,641.0,0.0,0.0,18.0,true,0,0
153,646.0,0.0,0.0,18.0,true,0,0
154,648.0,0.0,0.0,18.0,true,0,0
151,629.0,11.0,26.0,44.0,false,2,2
160,667.0,0.0,0.0,18.0,true,0,0
162,670.0,0.0,0.0,18.0,true,0,0
164,675.0,0.0,0.0,18.0,true,0,0
165,676.0,0.0,0.0,18.0,true,0,0
155,652.0,11.0,26.0,44.0,false,1,1
156,656.0,11.0,26.0,44.0,false,2,1
158,662.0,11.0,30.0,48.0,false,1,1
168,692.0,0.0,0.0,18.0,true,0,0
