CAR_NUMBER,AGGRESSIVENESS,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,FINAL_LANE
1,0.9387515397365831,6.0,0.0,0.0,17.0,true,0,0
0,0.861939494219953,5.0,0.0,0.0,19.0,true,0,0
2,1.0682473820982548,8.0,9.0,24.0,39.0,false,1,1
5,1.0631225738602375,35.0,0.0,0.0,15.0,true,0,0
3,0.8213484276461217,31.0,0.0,0.0,20.0,true,0,0
6,0.9486245623935723,37.0,0.0,0.0,17.0,true,0,0
7,0.9082947193739767,44.0,0.0,0.0,18.0,true,0,0
4,1.1131897947753941,34.0,9.0,24.0,39.0,false,2,1
15,1.1266322039790504,61.0,0.0,0.0,14.0,true,0,0
8,0.9920062859954453,45.0,10.0,25.0,40.0,false,1,1
17,0.9278425658462819,77.0,0.0,0.0,17.0,true,0,0
18,1.0053189142765888,79.0,0.0,0.0,16.0,true,0,0
9,0.8832293286085592,49.0,11.0,35.0,51.0,false,1,1
21,0.9160211113688453,83.0,0.0,0.0,18.0,true,0,0
14,0.9206926063746822,60.0,11.0,26.0,43.0,false,2,1
22,0.9021350036297187,89.0,0.0,0.0,18.0,true,0,0
10,0.8866795250282211,52.0,11.0,46.0,62.0,false,1,1
26,1.0404656780798636,99.0,0.0,0.0,16.0,true,0,0
16,0.9632184897801994,68.0,10.0,32.0,49.0,false,2,1
11,1.04796621613715,53.0,10.0,59.0,74.0,false,1,1
20,1.032027319571217,81.0,10.0,33.0,49.0,false,2,1
31,0.9663765161192027,117.0,0.0,0.0,17.0,true,0,0
30,0.8729141081155463,116.0,0.0,0.0,19.0,true,0,0
12,1.0510197767021268,54.0,9.0,72.0,87.0,false,1,1
19,0.8736365810966783,80.0,12.0,49.0,67.0,false,2,1
32,1.102433505951855,132.0,0.0,0.0,15.0,true,0,0
34,0.9650811221648159,135.0,0.0,0.0,17.0,true,0,0
33,0.8595087757020493,134.0,0.0,0.0,19.0,true,0,0
13,1.1209323064279813,55.0,9.0,85.0,99.0,false,1,1
