CAR_NUMBER,START_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED
0,0,23.0,true,0
2,2,23.0,true,0
5,5,23.0,true,0
8,8,23.0,true,0
9,9,23.0,true,0
1,1,33.0,false,1
12,12,23.0,true,0
3,3,33.0,false,2
14,14,23.0,true,0
15,15,23.0,true,0
16,16,23.0,true,0
19,19,23.0,true,0
23,23,23.0,true,0
6,6,42.0,false,1
25,25,23.0,true,0
4,4,46.0,false,2
27,27,23.0,true,0
29,29,23.0,true,0
31,31,23.0,true,0
32,32,23.0,true,0
36,36,23.0,true,0
10,10,52.0,false,1
39,39,23.0,true,0
7,7,57.0,false,2
41,41,23.0,true,0
42,42,23.0,true,0
43,43,23.0,true,0
44,44,23.0,true,0
50,50,23.0,true,0
51,51,23.0,true,0
11,11,65.0,false,1
53,53,23.0,true,0
13,13,65.0,false,2
57,57,23.0,true,0
59,59,23.0,true,0
62,62,23.0,true,0
64,64,23.0,true,0
65,65,23.0,true,0
66,66,23.0,true,0
17,17,73.0,false,1
68,68,23.0,true,0
20,20,72.0,false,2
69,69,23.0,true,0
70,70,23.0,true,0
72,72,23.0,true,0
74,74,23.0,true,0
75,75,23.0,true,0
77,77,23.0,true,0
18,18,86.0,false,1
82,82,23.0,true,0
21,21,85.0,false,2
85,85,23.0,true,0
86,86,23.0,true,0
87,87,23.0,true,0
88,88,23.0,true,0
89,89,23.0,true,0
90,90,23.0,true,0
91,91,23.0,true,0
92,92,23.0,true,0
24,24,94.0,false,1
95,95,23.0,true,0
22,22,98.0,false,2
100,100,23.0,true,0
101,101,23.0,true,0
106,106,23.0,true,0
26,26,106.0,false,1
109,109,23.0,true,0
28,28,106.0,false,2
112,112,23.0,true,0
113,113,23.0,true,0
114,114,23.0,true,0
115,115,23.0,true,0
116,116,23.0,true,0
117,117,23.0,true,0
118,118,23.0,true,0
120,120,23.0,true,0
122,122,23.0,true,0
33,33,113.0,false,1
124,124,23.0,true,0
30,30,118.0,false,2
125,125,23.0,true,0
126,126,23.0,true,0
127,127,23.0,true,0
128,128,23.0,true,0
131,131,23.0,true,0
133,133,23.0,true,0
136,136,23.0,true,0
35,35,125.0,false,1
137,137,23.0,true,0
138,138,23.0,true,0
34,34,128.0,false,2
140,140,23.0,true,0
141,141,23.0,true,0
143,143,23.0,true,0
144,144,23.0,true,0
145,145,23.0,true,0
146,146,23.0,true,0
147,147,23.0,true,0
149,149,23.0,true,0
37,37,137.0,false,1
152,152,23.0,true,0
38,38,138.0,false,2
155,155,23.0,true,0
157,157,23.0,true,0
161,161,23.0,true,0
162,162,23.0,true,0
45,45,143.0,false,1
166,166,23.0,true,0
40,40,150.0,false,2
168,168,23.0,true,0
169,169,23.0,true,0
175,175,23.0,true,0
177,177,23.0,true,0
178,178,23.0,true,0
46,46,156.0,false,1
179,179,23.0,true,0
180,180,23.0,true,0
47,47,157.0,false,2
181,181,23.0,true,0
184,184,23.0,true,0
188,188,23.0,true,0
189,189,23.0,true,0
191,191,23.0,true,0
48,48,168.0,false,1
49,49,169.0,false,2
195,195,23.0,true,0
197,197,23.0,true,0
198,198,23.0,true,0
201,201,23.0,true,0
206,206,23.0,true,0
54,54,176.0,false,1
52,52,180.0,false,2
211,211,23.0,true,0
212,212,23.0,true,0
215,215,23.0,true,0
56,56,188.0,false,1
222,222,23.0,true,0
55,55,191.0,false,2
223,223,23.0,true,0
225,225,23.0,true,0
226,226,23.0,true,0
227,227,23.0,true,0
233,233,23.0,true,0
234,234,23.0,true,0
60,60,198.0,false,1
235,235,23.0,true,0
58,58,202.0,false,2
237,237,23.0,true,0
240,240,23.0,true,0
241,241,23.0,true,0
244,244,23.0,true,0
246,246,23.0,true,0
63,63,209.0,false,1
249,249,23.0,true,0
250,250,23.0,true,0
61,61,213.0,false,2
252,252,23.0,true,0
253,253,23.0,true,0
256,256,23.0,true,0
259,259,23.0,true,0
67,67,219.0,false,1
263,263,23.0,true,0
264,264,23.0,true,0
71,71,217.0,false,2
265,265,23.0,true,0
267,267,23.0,true,0
270,270,23.0,true,0
271,271,23.0,true,0
274,274,23.0,true,0
275,275,23.0,true,0
73,73,227.0,false,1
278,278,23.0,true,0
76,76,226.0,false,2
282,282,23.0,true,0
284,284,23.0,true,0
286,286,23.0,true,0
287,287,23.0,true,0
289,289,23.0,true,0
290,290,23.0,true,0
79,79,235.0,false,1
78,78,238.0,false,2
293,293,23.0,true,0
294,294,23.0,true,0
295,295,23.0,true,0
297,297,23.0,true,0
301,301,23.0,true,0
303,303,23.0,true,0
80,80,248.0,false,1
305,305,23.0,true,0
306,306,23.0,true,0
81,81,249.0,false,2
307,307,23.0,true,0
309,309,23.0,true,0
310,310,23.0,true,0
318,318,23.0,true,0
83,83,259.0,false,1
84,84,260.0,false,2
321,321,23.0,true,0
322,322,23.0,true,0
324,324,23.0,true,0
326,326,23.0,true,0
328,328,23.0,true,0
329,329,23.0,true,0
332,332,23.0,true,0
93,93,263.0,false,1
94,94,264.0,false,2
335,335,23.0,true,0
341,341,23.0,true,0
343,343,23.0,true,0
97,97,273.0,false,1
96,96,276.0,false,2
352,352,23.0,true,0
354,354,23.0,true,0
356,356,23.0,true,0
357,357,23.0,true,0
358,358,23.0,true,0
99,99,285.0,false,1
362,362,23.0,true,0
98,98,288.0,false,2
369,369,23.0,true,0
371,371,23.0,true,0
374,374,23.0,true,0
102,102,296.0,false,1
376,376,23.0,true,0
103,103,297.0,false,2
378,378,23.0,true,0
380,380,23.0,true,0
381,381,23.0,true,0
382,382,23.0,true,0
383,383,23.0,true,0
387,387,23.0,true,0
104,104,308.0,false,1
389,389,23.0,true,0
105,105,309.0,false,2
391,391,23.0,true,0
395,395,23.0,true,0
398,398,23.0,true,0
399,399,23.0,true,0
401,401,23.0,true,0
402,402,23.0,true,0
108,108,318.0,false,1
404,404,23.0,true,0
107,107,321.0,false,2
405,405,23.0,true,0
407,407,23.0,true,0
408,408,23.0,true,0
410,410,23.0,true,0
413,413,23.0,true,0
414,414,23.0,true,0
111,111,329.0,false,1
417,417,23.0,true,0
110,110,332.0,false,2
419,419,23.0,true,0
420,420,23.0,true,0
421,421,23.0,true,0
425,425,23.0,true,0
426,426,23.0,true,0
427,427,23.0,true,0
428,428,23.0,true,0
429,429,23.0,true,0
119,119,335.0,false,1
121,121,335.0,false,2
433,433,23.0,true,0
434,434,23.0,true,0
435,435,23.0,true,0
437,437,23.0,true,0
438,438,23.0,true,0
441,441,23.0,true,0
442,442,23.0,true,0
444,444,23.0,true,0
123,123,345.0,false,1
445,445,23.0,true,0
446,446,23.0,true,0
130,130,340.0,false,2
449,449,23.0,true,0
450,450,23.0,true,0
452,452,23.0,true,0
453,453,23.0,true,0
455,455,23.0,true,0
456,456,23.0,true,0
129,129,353.0,false,1
132,132,352.0,false,2
461,461,23.0,true,0
464,464,23.0,true,0
469,469,23.0,true,0
470,470,23.0,true,0
471,471,23.0,true,0
472,472,23.0,true,0
135,135,361.0,false,1
473,473,23.0,true,0
474,474,23.0,true,0
134,134,364.0,false,2
476,476,23.0,true,0
479,479,23.0,true,0
480,480,23.0,true,0
481,481,23.0,true,0
484,484,23.0,true,0
486,486,23.0,true,0
142,142,368.0,false,1
487,487,23.0,true,0
488,488,23.0,true,0
139,139,373.0,false,2
489,489,23.0,true,0
491,491,23.0,true,0
492,492,23.0,true,0
493,493,23.0,true,0
495,495,23.0,true,0
499,499,23.0,true,0
150,150,374.0,false,1
501,501,23.0,true,0
148,148,378.0,false,2
503,503,23.0,true,0
505,505,23.0,true,0
506,506,23.0,true,0
510,510,23.0,true,0
511,511,23.0,true,0
513,513,23.0,true,0
514,514,23.0,true,0
151,151,387.0,false,1
515,515,23.0,true,0
516,516,23.0,true,0
153,153,387.0,false,2
520,520,23.0,true,0
521,521,23.0,true,0
524,524,23.0,true,0
154,154,398.0,false,1
529,529,23.0,true,0
156,156,398.0,false,2
535,535,23.0,true,0
536,536,23.0,true,0
537,537,23.0,true,0
538,538,23.0,true,0
540,540,23.0,true,0
541,541,23.0,true,0
158,158,408.0,false,1
159,159,409.0,false,2
547,547,23.0,true,0
548,548,23.0,true,0
549,549,23.0,true,0
