CAR_NUMBER,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED
1,10.0,0.0,0.0,18.0,true,0
2,16.0,0.0,0.0,18.0,true,0
3,17.0,0.0,0.0,18.0,true,0
4,21.0,0.0,0.0,18.0,true,0
0,1.0,11.0,26.0,44.0,false,2
7,31.0,0.0,0.0,18.0,true,0
8,36.0,0.0,0.0,18.0,true,0
9,37.0,0.0,0.0,18.0,true,0
12,45.0,0.0,0.0,18.0,true,0
13,46.0,0.0,0.0,18.0,true,0
5,23.0,11.0,26.0,44.0,false,1
15,53.0,0.0,0.0,18.0,true,0
16,58.0,0.0,0.0,18.0,true,0
6,25.0,11.0,38.0,56.0,false,1
17,67.0,0.0,0.0,18.0,true,0
10,42.0,11.0,26.0,44.0,false,2
18,68.0,0.0,0.0,18.0,true,0
19,70.0,0.0,0.0,18.0,true,0
21,72.0,0.0,0.0,18.0,true,0
23,79.0,0.0,0.0,18.0,true,0
11,43.0,11.0,39.0,57.0,false,2
26,92.0,0.0,0.0,18.0,true,0
14,50.0,11.0,46.0,64.0,false,2
20,71.0,11.0,26.0,44.0,false,1
22,78.0,11.0,33.0,51.0,false,1
33,117.0,0.0,0.0,18.0,true,0
27,93.0,11.0,26.0,44.0,false,2
34,122.0,0.0,0.0,18.0,true,0
24,81.0,11.0,44.0,62.0,false,1
28,100.0,11.0,33.0,51.0,false,2
36,136.0,0.0,0.0,18.0,true,0
25,82.0,11.0,57.0,75.0,false,1
37,141.0,0.0,0.0,18.0,true,0
29,106.0,11.0,41.0,59.0,false,2
35,124.0,11.0,29.0,47.0,false,1
30,108.0,11.0,53.0,71.0,false,2
43,165.0,0.0,0.0,18.0,true,0
38,147.0,11.0,26.0,44.0,false,1
31,109.0,11.0,66.0,84.0,false,2
47,180.0,0.0,0.0,18.0,true,0
48,181.0,0.0,0.0,18.0,true,0
50,184.0,0.0,0.0,18.0,true,0
39,150.0,11.0,37.0,55.0,false,1
32,116.0,11.0,73.0,91.0,false,2
51,192.0,0.0,0.0,18.0,true,0
40,158.0,11.0,43.0,61.0,false,1
44,170.0,11.0,33.0,51.0,false,2
53,208.0,0.0,0.0,18.0,true,0
41,160.0,11.0,55.0,73.0,false,1
45,171.0,11.0,46.0,64.0,false,2
42,162.0,11.0,67.0,85.0,false,1
46,173.0,11.0,58.0,76.0,false,2
57,231.0,0.0,0.0,18.0,true,0
58,232.0,0.0,0.0,18.0,true,0
52,195.0,11.0,48.0,66.0,false,1
49,182.0,11.0,63.0,81.0,false,2
63,256.0,0.0,0.0,18.0,true,0
54,209.0,11.0,48.0,66.0,false,1
55,227.0,11.0,32.0,50.0,false,2
66,266.0,0.0,0.0,18.0,true,0
60,246.0,11.0,26.0,44.0,false,1
56,228.0,11.0,45.0,63.0,false,2
69,274.0,0.0,0.0,18.0,true,0
71,284.0,0.0,0.0,18.0,true,0
72,285.0,0.0,0.0,18.0,true,0
61,248.0,11.0,38.0,56.0,false,1
59,237.0,11.0,50.0,68.0,false,2
62,251.0,11.0,49.0,67.0,false,1
74,300.0,0.0,0.0,18.0,true,0
64,262.0,11.0,39.0,57.0,false,2
75,309.0,0.0,0.0,18.0,true,0
70,275.0,11.0,39.0,57.0,false,1
65,264.0,11.0,51.0,69.0,false,2
76,315.0,0.0,0.0,18.0,true,0
78,325.0,0.0,0.0,18.0,true,0
73,287.0,11.0,41.0,59.0,false,1
67,267.0,11.0,62.0,80.0,false,2
80,331.0,0.0,0.0,18.0,true,0
83,341.0,0.0,0.0,18.0,true,0
68,270.0,11.0,73.0,91.0,false,2
84,343.0,0.0,0.0,18.0,true,0
77,318.0,11.0,26.0,44.0,false,1
86,347.0,0.0,0.0,18.0,true,0
88,357.0,0.0,0.0,18.0,true,0
79,329.0,11.0,29.0,47.0,false,1
89,362.0,0.0,0.0,18.0,true,0
90,365.0,0.0,0.0,18.0,true,0
85,344.0,11.0,26.0,44.0,false,2
81,336.0,11.0,36.0,54.0,false,1
92,372.0,0.0,0.0,18.0,true,0
94,380.0,0.0,0.0,18.0,true,0
87,349.0,11.0,35.0,53.0,false,2
95,385.0,0.0,0.0,18.0,true,0
82,337.0,11.0,49.0,67.0,false,1
96,393.0,0.0,0.0,18.0,true,0
91,369.0,11.0,29.0,47.0,false,2
93,377.0,11.0,26.0,44.0,false,1
99,408.0,0.0,0.0,18.0,true,0
100,411.0,0.0,0.0,18.0,true,0
97,397.0,11.0,26.0,44.0,false,2
105,430.0,0.0,0.0,18.0,true,0
98,403.0,11.0,34.0,52.0,false,2
101,412.0,11.0,26.0,44.0,false,1
107,441.0,0.0,0.0,18.0,true,0
102,413.0,11.0,39.0,57.0,false,1
110,455.0,0.0,0.0,18.0,true,0
106,433.0,11.0,26.0,44.0,false,2
112,459.0,0.0,0.0,18.0,true,0
113,462.0,0.0,0.0,18.0,true,0
103,414.0,11.0,52.0,70.0,false,1
108,445.0,11.0,28.0,46.0,false,2
