CAR_NUMBER,START_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED
0,1,18.0,true,0
2,6,18.0,true,0
3,8,18.0,true,0
4,10,18.0,true,0
6,18,18.0,true,0
7,28,18.0,true,0
1,3,48.0,false,2
8,33,18.0,true,0
9,39,18.0,true,0
10,43,18.0,true,0
5,11,54.0,false,2
12,48,18.0,true,0
15,58,18.0,true,0
17,65,18.0,true,0
21,76,18.0,true,0
11,47,48.0,false,1
16,59,48.0,false,2
13,49,60.0,false,1
18,70,51.0,false,2
26,103,18.0,true,0
14,51,72.0,false,1
28,112,18.0,true,0
29,113,18.0,true,0
19,73,62.0,false,2
30,121,18.0,true,0
31,123,18.0,true,0
32,125,18.0,true,0
20,74,75.0,false,2
35,131,18.0,true,0
37,133,18.0,true,0
27,104,48.0,false,1
38,135,18.0,true,0
39,137,18.0,true,0
41,140,18.0,true,0
42,141,18.0,true,0
43,144,18.0,true,0
22,78,85.0,false,2
47,158,18.0,true,0
23,85,92.0,false,2
33,129,48.0,false,1
48,159,18.0,true,0
49,162,18.0,true,0
24,91,100.0,false,2
34,130,61.0,false,1
53,174,18.0,true,0
25,93,112.0,false,2
36,132,73.0,false,1
55,191,18.0,true,0
57,198,18.0,true,0
40,139,80.0,false,1
46,156,63.0,false,2
59,202,18.0,true,0
44,147,86.0,false,1
50,166,67.0,false,2
60,216,18.0,true,0
61,223,18.0,true,0
62,224,18.0,true,0
45,152,95.0,false,1
51,167,80.0,false,2
52,173,88.0,false,2
58,200,61.0,false,1
66,243,18.0,true,0
67,244,18.0,true,0
68,247,18.0,true,0
54,175,100.0,false,2
63,230,48.0,false,1
74,260,18.0,true,0
76,269,18.0,true,0
56,195,94.0,false,2
77,271,18.0,true,0
64,234,58.0,false,1
79,274,18.0,true,0
80,277,18.0,true,0
81,279,18.0,true,0
82,280,18.0,true,0
65,237,69.0,false,1
75,262,48.0,false,2
85,294,18.0,true,0
86,295,18.0,true,0
87,300,18.0,true,0
69,248,72.0,false,1
78,272,52.0,false,2
89,308,18.0,true,0
70,255,79.0,false,1
83,281,57.0,false,2
92,320,18.0,true,0
93,322,18.0,true,0
94,323,18.0,true,0
71,257,91.0,false,1
96,331,18.0,true,0
97,332,18.0,true,0
84,283,69.0,false,2
98,334,18.0,true,0
99,339,18.0,true,0
72,258,104.0,false,1
102,347,18.0,true,0
88,301,65.0,false,2
103,349,18.0,true,0
104,355,18.0,true,0
73,259,117.0,false,1
90,316,64.0,false,2
100,342,48.0,false,1
110,373,18.0,true,0
111,375,18.0,true,0
91,317,77.0,false,2
101,344,60.0,false,1
114,389,18.0,true,0
95,329,79.0,false,2
105,357,61.0,false,1
116,403,18.0,true,0
117,405,18.0,true,0
112,376,48.0,false,2
118,412,18.0,true,0
119,413,18.0,true,0
106,358,74.0,false,1
113,386,52.0,false,2
122,420,18.0,true,0
123,423,18.0,true,0
124,427,18.0,true,0
107,368,78.0,false,1
126,432,18.0,true,0
115,391,61.0,false,2
127,434,18.0,true,0
108,369,91.0,false,1
120,417,49.0,false,2
131,452,18.0,true,0
109,371,103.0,false,1
121,418,62.0,false,2
135,462,18.0,true,0
137,470,18.0,true,0
138,471,18.0,true,0
129,445,48.0,false,1
125,429,65.0,false,2
140,478,18.0,true,0
141,481,18.0,true,0
130,448,59.0,false,1
128,435,73.0,false,2
143,490,18.0,true,0
145,493,18.0,true,0
132,454,67.0,false,1
148,503,18.0,true,0
139,477,48.0,false,2
150,507,18.0,true,0
152,512,18.0,true,0
133,456,79.0,false,1
155,518,18.0,true,0
142,488,51.0,false,2
157,524,18.0,true,0
134,459,90.0,false,1
159,533,18.0,true,0
160,534,18.0,true,0
144,491,62.0,false,2
162,544,18.0,true,0
136,468,95.0,false,1
146,495,72.0,false,2
158,525,52.0,false,1
147,501,80.0,false,2
165,564,18.0,true,0
167,570,18.0,true,0
161,538,53.0,false,1
149,504,91.0,false,2
168,578,18.0,true,0
169,580,18.0,true,0
170,581,18.0,true,0
171,585,18.0,true,0
163,546,59.0,false,1
172,590,18.0,true,0
151,509,100.0,false,2
164,556,63.0,false,1
176,601,18.0,true,0
177,602,18.0,true,0
153,515,108.0,false,2
166,565,68.0,false,1
154,517,120.0,false,2
181,627,18.0,true,0
173,594,53.0,false,1
182,629,18.0,true,0
156,521,130.0,false,2
174,596,65.0,false,1
185,645,18.0,true,0
179,619,48.0,false,2
187,651,18.0,true,0
188,654,18.0,true,0
175,600,75.0,false,1
180,624,57.0,false,2
178,612,77.0,false,1
190,672,18.0,true,0
183,634,61.0,false,2
192,677,18.0,true,0
194,690,18.0,true,0
184,644,65.0,false,2
189,666,48.0,false,1
186,648,75.0,false,2
191,676,52.0,false,1
198,712,18.0,true,0
200,719,18.0,true,0
193,683,59.0,false,1
201,728,18.0,true,0
203,735,18.0,true,0
196,706,48.0,false,2
204,737,18.0,true,0
195,695,61.0,false,1
205,738,18.0,true,0
208,744,18.0,true,0
209,746,18.0,true,0
210,748,18.0,true,0
197,711,57.0,false,2
199,718,64.0,false,2
213,766,18.0,true,0
215,771,18.0,true,0
206,742,48.0,false,1
202,732,64.0,false,2
207,743,61.0,false,1
219,792,18.0,true,0
221,796,18.0,true,0
211,749,69.0,false,1
222,801,18.0,true,0
224,808,18.0,true,0
216,779,48.0,false,2
212,764,68.0,false,1
227,818,18.0,true,0
228,821,18.0,true,0
217,783,58.0,false,2
229,824,18.0,true,0
230,825,18.0,true,0
214,767,79.0,false,1
232,833,18.0,true,0
218,789,66.0,false,2
236,841,18.0,true,0
225,815,48.0,false,1
220,795,74.0,false,2
240,857,18.0,true,0
226,816,61.0,false,1
241,862,18.0,true,0
242,864,18.0,true,0
223,807,76.0,false,2
231,828,63.0,false,1
244,873,18.0,true,0
238,846,51.0,false,2
233,836,69.0,false,1
239,851,60.0,false,2
234,837,82.0,false,1
249,905,18.0,true,0
243,867,58.0,false,2
250,907,18.0,true,0
235,840,93.0,false,1
251,918,18.0,true,0
245,876,63.0,false,2
237,842,105.0,false,1
255,933,18.0,true,0
256,934,18.0,true,0
246,891,62.0,false,2
257,937,18.0,true,0
259,942,18.0,true,0
247,896,71.0,false,2
252,920,48.0,false,1
262,952,18.0,true,0
248,903,78.0,false,2
253,926,56.0,false,1
254,929,67.0,false,1
270,981,18.0,true,0
263,953,48.0,false,2
258,940,70.0,false,1
264,956,59.0,false,2
260,946,78.0,false,1
265,959,70.0,false,2
261,947,91.0,false,1
275,1024,18.0,true,0
266,960,83.0,false,2
276,1025,18.0,true,0
279,1033,18.0,true,0
271,996,56.0,false,1
280,1034,18.0,true,0
267,961,96.0,false,2
272,1001,65.0,false,1
281,1049,18.0,true,0
268,970,101.0,false,2
283,1055,18.0,true,0
284,1059,18.0,true,0
285,1060,18.0,true,0
273,1014,66.0,false,1
269,977,108.0,false,2
289,1067,18.0,true,0
290,1069,18.0,true,0
292,1072,18.0,true,0
274,1023,71.0,false,1
293,1080,18.0,true,0
282,1051,48.0,false,2
294,1084,18.0,true,0
296,1089,18.0,true,0
277,1027,81.0,false,1
286,1061,52.0,false,2
278,1030,92.0,false,1
287,1065,62.0,false,2
303,1113,18.0,true,0
295,1085,51.0,false,1
304,1118,18.0,true,0
288,1066,75.0,false,2
305,1125,18.0,true,0
297,1091,59.0,false,1
291,1071,84.0,false,2
308,1138,18.0,true,0
298,1092,72.0,false,1
310,1149,18.0,true,0
312,1152,18.0,true,0
299,1094,84.0,false,1
306,1130,48.0,false,2
313,1160,18.0,true,0
315,1164,18.0,true,0
316,1165,18.0,true,0
300,1099,93.0,false,1
307,1131,61.0,false,2
319,1182,18.0,true,0
301,1107,99.0,false,1
309,1147,59.0,false,2
320,1189,18.0,true,0
322,1194,18.0,true,0
302,1108,112.0,false,1
311,1150,70.0,false,2
323,1202,18.0,true,0
324,1203,18.0,true,0
314,1163,71.0,false,2
